Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20110712,11:45,11131.75,10985.30,False,True,False,True,11131.75,0.00,11131.75,0.00,10941.30,44.00,11095.95,-110.65,11000.70,-131.05,-15.40
20110713,11:45,11164.25,11060.90,False,False,False,False,11164.25,0.00,11164.25,0.00,11060.90,0.00,11060.90,0.00,11158.25,-6.00,-97.35
20110714,11:45,11240.80,11072.50,True,False,True,False,11385.35,144.55,11214.95,-25.85,11072.50,0.00,11072.50,0.00,11253.25,12.45,-180.75
20110715,11:45,11334.60,11195.50,False,False,False,False,11334.60,0.00,11334.60,0.00,11195.50,0.00,11195.50,0.00,11229.05,-105.55,-33.55
20110718,11:45,11277.45,11178.30,False,True,False,False,11277.45,0.00,11277.45,0.00,11176.85,1.45,11258.75,-80.45,11215.40,-62.05,-37.10
20110719,11:45,11279.80,11204.75,True,False,True,False,11353.75,73.95,11218.50,-61.30,11204.75,0.00,11204.75,0.00,11301.10,21.30,-96.35
20110720,11:45,11388.50,11272.00,False,True,False,True,11388.50,0.00,11388.50,0.00,11146.85,125.15,11316.60,-44.60,11150.95,-237.55,121.05
20110721,11:45,11193.05,11099.20,False,True,False,True,11193.05,0.00,11193.05,0.00,11021.70,77.50,11138.35,-39.15,11051.60,-141.45,47.60
20110722,11:45,11219.65,11105.70,True,False,True,False,11309.00,89.35,11186.45,-33.20,11105.70,0.00,11105.70,0.00,11300.40,80.75,-194.70
20110725,11:45,11325.30,11233.35,True,False,True,False,11433.10,107.80,11250.00,-75.30,11233.35,0.00,11233.35,0.00,11382.75,57.45,-149.40
20110726,11:45,11430.75,11083.60,False,True,False,True,11430.75,0.00,11430.75,0.00,11068.20,15.40,11159.30,-75.70,11114.40,-316.35,-30.80
20110727,11:45,11139.65,10985.65,False,True,False,True,11139.65,0.00,11139.65,0.00,10961.95,23.70,11062.70,-77.05,11000.00,-139.65,-14.35
20110728,11:45,10954.25,10852.10,False,True,False,True,10954.25,0.00,10954.25,0.00,10799.85,52.25,10939.65,-87.55,10830.15,-124.10,21.95
20110729,11:45,10913.80,10758.40,True,False,True,False,10968.80,55.00,10759.65,-154.15,10758.40,0.00,10758.40,0.00,10905.35,-8.45,-146.95
20110801,11:45,11064.90,10974.85,False,True,False,True,11064.90,0.00,11064.90,0.00,10882.70,92.15,11009.70,-34.85,10914.35,-150.55,60.50
20110802,11:45,10885.10,10770.85,False,True,False,True,10885.10,0.00,10885.10,0.00,10720.30,50.55,10802.50,-31.65,10747.70,-137.40,23.15
20110803,11:45,10636.30,10563.60,True,True,True,True,10674.00,37.70,10545.15,-91.15,10545.15,18.45,10674.00,-110.40,10671.15,34.85,-107.55
20110804,11:45,10765.95,10642.85,False,True,False,True,10765.95,0.00,10765.95,0.00,10518.70,124.15,10702.25,-59.40,10525.55,-240.40,117.30
20110805,11:45,10330.65,10195.15,True,True,True,True,10384.60,53.95,10150.30,-180.35,10150.30,44.85,10384.60,-189.45,10369.35,38.70,-174.20
20110808,11:45,10150.10,10072.45,True,False,True,False,10481.50,331.40,10137.90,-12.20,10072.45,0.00,10072.45,0.00,10237.00,86.90,-164.55
20110809,11:45,10218.60,9920.80,True,False,True,False,10424.25,205.65,10054.80,-163.80,9920.80,0.00,9920.80,0.00,10207.90,-10.70,-287.10
20110810,11:45,10478.85,10394.50,True,True,True,False,10484.15,5.30,10393.70,-85.15,10393.70,0.80,10484.15,-89.65,10472.20,-6.65,-77.70
20110811,11:45,10516.90,10369.50,False,True,False,True,10516.90,0.00,10516.90,0.00,10326.25,43.25,10488.85,-119.35,10335.65,-181.25,33.85
20110812,11:45,10465.85,10334.90,False,True,False,True,10465.85,0.00,10465.85,0.00,10131.65,203.25,10341.65,-6.75,10174.65,-291.20,160.25
20110816,11:45,10312.65,10229.20,False,True,False,True,10312.65,0.00,10312.65,0.00,10025.50,203.70,10242.35,-13.15,10075.35,-237.30,153.85
20110817,11:45,10173.10,9976.95,False,True,False,True,10173.10,0.00,10173.10,0.00,9869.75,107.20,10021.75,-44.80,9966.00,-207.10,10.95
20110818,11:45,9995.00,9657.80,False,True,False,True,9995.00,0.00,9995.00,0.00,9564.95,92.85,9724.15,-66.35,9593.80,-401.20,64.00
20110819,11:45,9587.70,9349.35,False,True,False,True,9587.70,0.00,9587.70,0.00,9280.25,69.10,9520.10,-170.75,9414.45,-173.25,-65.10
20110822,11:45,9466.10,9280.75,False,True,False,True,9466.10,0.00,9466.10,0.00,9224.95,55.80,9451.15,-170.40,9407.70,-58.40,-126.95
20110823,11:45,9470.65,9303.35,True,False,True,False,9523.00,52.35,9383.75,-86.90,9303.35,0.00,9303.35,0.00,9467.40,-3.25,-164.05
20110824,11:45,9561.90,9384.00,False,True,False,True,9561.90,0.00,9561.90,0.00,9293.00,91.00,9451.45,-67.45,9298.55,-263.35,85.45
20110825,11:45,9401.15,9186.70,False,True,False,True,9401.15,0.00,9401.15,0.00,9134.95,51.75,9344.20,-157.50,9197.10,-204.05,-10.40
20110826,11:45,9217.70,9103.65,False,True,False,True,9217.70,0.00,9217.70,0.00,8917.95,185.70,9154.45,-50.80,8978.80,-238.90,124.85
20110829,11:45,9286.20,9125.60,True,False,True,False,9378.10,91.90,9242.00,-44.20,9125.60,0.00,9125.60,0.00,9340.80,54.60,-215.20
20110830,11:45,9525.05,9431.65,True,True,True,True,9561.25,36.20,9355.15,-169.90,9355.15,76.50,9561.25,-129.60,9556.20,31.15,-124.55
20110902,11:45,9664.45,9517.95,False,True,False,True,9664.45,0.00,9664.45,0.00,9496.35,21.60,9649.20,-131.25,9583.60,-80.85,-65.65
20110905,11:45,9541.20,9448.75,True,False,True,False,9629.20,88.00,9481.15,-60.05,9448.75,0.00,9448.75,0.00,9612.20,71.00,-163.45
20110906,11:45,9558.80,9364.60,True,False,True,False,9695.45,136.65,9395.35,-163.45,9364.60,0.00,9364.60,0.00,9667.60,108.80,-303.00
20110907,11:45,9850.85,9683.95,True,False,True,False,9906.80,55.95,9825.10,-25.75,9683.95,0.00,9683.95,0.00,9852.85,2.00,-168.90
20110908,11:45,9891.00,9749.20,True,False,True,False,9939.30,48.30,9800.65,-90.35,9749.20,0.00,9749.20,0.00,9919.65,28.65,-170.45
20110909,11:45,9972.00,9867.00,False,True,False,True,9972.00,0.00,9972.00,0.00,9648.60,218.40,9940.30,-73.30,9660.25,-311.75,206.75
20110912,11:45,9538.15,9381.05,False,True,False,True,9538.15,0.00,9538.15,0.00,9347.15,33.90,9453.85,-72.80,9387.95,-150.20,-6.90
20110913,11:45,9567.50,9462.70,False,True,False,True,9567.50,0.00,9567.50,0.00,9260.90,201.80,9548.35,-85.65,9345.90,-221.60,116.80
20110914,11:45,9405.90,9267.55,True,False,True,False,9501.85,95.95,9270.20,-135.70,9267.55,0.00,9267.55,0.00,9501.20,95.30,-233.65
20110915,11:45,9550.60,9390.10,True,False,True,False,9698.45,147.85,9427.25,-123.35,9390.10,0.00,9390.10,0.00,9695.30,144.70,-305.20
20110916,11:45,9754.70,9652.50,True,True,True,True,9798.75,44.05,9590.15,-164.55,9590.15,62.35,9798.75,-146.25,9746.20,-8.50,-93.70
20110919,11:45,9648.40,9573.35,False,True,False,True,9648.40,0.00,9648.40,0.00,9545.85,27.50,9619.10,-45.75,9583.40,-65.00,-10.05
20110920,11:45,9697.40,9578.60,True,False,True,False,9841.25,143.85,9628.60,-68.80,9578.60,0.00,9578.60,0.00,9838.85,141.45,-260.25
20110921,11:45,9941.75,9809.30,True,False,True,False,9962.95,21.20,9858.00,-83.75,9809.30,0.00,9809.30,0.00,9919.10,-22.65,-109.80
20110922,11:45,9755.50,9675.45,False,True,False,True,9755.50,0.00,9755.50,0.00,9489.70,185.75,9687.70,-12.25,9509.00,-246.50,166.45
